#,"",distance-to-solar-noon,temperature,wind-direction,wind-speed,sky-cover,visibility,humidity,average-wind-speed-(period),average-pressure-(period),power-generated,power_generated_log,wind_direction_rad,wind_direction_sin,wind_direction_cos
1,0,0.859897,69,28,2.140066,0,0.693147,5.000000,2.197225,29.82,0,0.000000,0.488692,0.469472,0.882948
2,1,0.628535,69,28,2.140066,0,0.693147,4.795832,1.791759,29.85,0,0.000000,0.488692,0.469472,0.882948
3,2,0.397172,69,28,2.140066,0,0.693147,5.477226,1.386294,29.89,5418,8.597667,0.488692,0.469472,0.882948
4,3,0.165810,69,28,2.140066,0,0.693147,8.185353,1.386294,29.91,25477,10.145571,0.488692,0.469472,0.882948
5,4,0.065553,69,28,2.140066,0,0.693147,8.774964,1.386294,29.89,30069,10.311283,0.488692,0.469472,0.882948
6,5,0.296915,69,28,2.140066,0,0.693147,8.774964,3.178054,29.85,16280,9.697754,0.488692,0.469472,0.882948
7,6,0.528278,69,28,2.140066,0,0.693147,8.000000,2.772589,29.83,515,6.246107,0.488692,0.469472,0.882948
8,7,0.759640,69,28,2.140066,0,0.693147,7.141428,1.945910,29.86,0,0.000000,0.488692,0.469472,0.882948
9,8,0.862113,72,29,2.054124,0,0.693147,5.744563,1.945910,29.86,0,0.000000,0.506145,0.484810,0.874620
10,9,0.630155,72,29,2.054124,0,0.693147,7.141428,1.386294,29.87,0,0.000000,0.506145,0.484810,0.874620
11,10,0.398196,72,29,2.054124,0,0.693147,6.782330,1.386294,29.90,4939,8.505121,0.506145,0.48481,0.87462
12,11,0.166237,72,29,2.054124,0,0.693147,6.000000,1.386294,29.92,24335,10.099712,0.506145,0.48481,0.87462
13,12,0.065722,72,29,2.054124,0,0.693147,8.774964,2.302585,29.88,29025,10.275947,0.506145,0.48481,0.87462
14,13,0.297680,72,29,2.054124,0,0.693147,8.366600,2.944439,29.84,15408,9.642707,0.506145,0.48481,0.87462
15,14,0.529639,72,29,2.054124,0,0.693147,5.916080,2.484907,29.84,491,6.198479,0.506145,0.48481,0.87462
16,15,0.761598,72,29,2.054124,0,0.693147,5.000000,1.791759,29.85,0,0.000000,0.506145,0.48481,0.87462
17,16,0.865459,73,29,2.186051,0,0.693147,5.291503,1.945910,29.84,0,0.000000,0.506145,0.48481,0.87462
18,17,0.632600,73,29,2.186051,0,0.693147,4.690416,1.945910,29.86,0,0.000000,0.506145,0.48481,0.87462
19,18,0.399741,73,29,2.186051,0,0.693147,6.082763,1.386294,29.88,4854,8.487764,0.506145,0.48481,0.87462
20,19,0.166882,73,29,2.186051,0,0.693147,5.567764,1.386294,29.88,23855,10.079791,0.506145,0.48481,0.87462
21,20,0.065977,73,29,2.186051,0,0.693147,8.185353,2.397895,29.84,28339,10.252030,0.506145,0.48481,0.874620
22,21,0.298836,73,29,2.186051,0,0.693147,8.544004,3.044522,29.81,15308,9.636196,0.506145,0.48481,0.874620
23,22,0.531695,73,29,2.186051,0,0.693147,6.855655,2.708050,29.81,455,6.122493,0.506145,0.48481,0.874620
24,23,0.764554,73,29,2.186051,0,0.693147,5.477226,1.945910,29.85,0,0.000000,0.506145,0.48481,0.874620
25,24,0.867704,76,30,2.066863,0,0.693147,5.196152,1.386294,29.83,0,0.000000,0.523599,0.50000,0.866025
26,25,0.634241,76,30,2.066863,0,0.693147,4.690416,1.945910,29.82,0,0.000000,0.523599,0.50000,0.866025
27,26,0.400778,76,30,2.066863,0,0.693147,5.477226,1.386294,29.84,4750,8.466110,0.523599,0.50000,0.866025
28,27,0.167315,76,30,2.066863,0,0.693147,6.000000,1.386294,29.85,23555,10.067136,0.523599,0.50000,0.866025
29,28,0.066148,76,30,2.066863,0,0.693147,6.164414,1.945910,29.79,27741,10.230703,0.523599,0.50000,0.866025
30,29,0.299611,76,30,2.066863,0,0.693147,8.366600,2.772589,29.75,14917,9.610324,0.523599,0.50000,0.866025
31,30,0.533074,76,30,2.066863,0,0.693147,8.544004,2.890372,29.74,429,6.063785,0.523599,0.50000,0.866025
32,31,0.766537,76,30,2.066863,0,0.693147,8.185353,1.791759,29.77,0,0.000000,0.523599,0.50000,0.866025
33,32,0.869792,77,29,2.251292,0,0.693147,6.855655,1.386294,29.77,0,0.000000,0.506145,0.48481,0.874620
34,33,0.635417,77,29,2.251292,0,0.693147,5.477226,2.079442,29.76,0,0.000000,0.506145,0.48481,0.874620
35,34,0.401042,77,29,2.251292,0,0.693147,6.244998,1.386294,29.80,4804,8.477412,0.506145,0.48481,0.874620
36,35,0.166667,77,29,2.251292,0,0.693147,6.000000,1.386294,29.82,23551,10.066966,0.506145,0.48481,0.874620
37,36,0.067708,77,29,2.251292,0,0.693147,7.141428,1.791759,29.78,27963,10.238673,0.506145,0.48481,0.874620
38,37,0.302083,77,29,2.251292,0,0.693147,8.774964,3.135494,29.75,14980,9.614538,0.506145,0.48481,0.874620
39,38,0.536458,77,29,2.251292,0,0.693147,7.000000,2.772589,29.76,423,6.049733,0.506145,0.48481,0.874620
40,39,0.770833,77,29,2.251292,0,0.693147,7.937254,2.197225,29.79,0,0.000000,0.506145,0.48481,0.874620
41,40,0.870926,75,30,2.261763,1,0.693147,6.557439,1.945910,29.78,0,0.000000,0.523599,0.50000,0.866025
42,41,0.636245,75,30,2.261763,1,0.693147,5.196152,1.386294,29.78,0,0.000000,0.523599,0.50000,0.866025
43,42,0.401565,75,30,2.261763,1,0.693147,6.928203,1.386294,29.81,4562,8.425736,0.523599,0.50000,0.866025
44,43,0.166884,75,30,2.261763,1,0.693147,5.830952,1.386294,29.82,22761,10.032848,0.523599,0.50000,0.866025
45,44,0.067797,75,30,2.261763,0,0.693147,8.426150,2.833213,29.79,28193,10.246864,0.523599,0.50000,0.866025
46,45,0.302477,75,30,2.261763,0,0.693147,7.810250,2.944439,29.75,14835,9.604812,0.523599,0.50000,0.866025
47,46,0.537158,75,30,2.261763,0,0.693147,6.557439,2.708050,29.74,375,5.929589,0.523599,0.50000,0.866025
48,47,0.771838,75,30,2.261763,0,0.693147,5.916080,2.197225,29.76,0,0.000000,0.523599,0.50000,0.866025
49,48,0.873037,62,29,2.766319,1,0.693147,4.358899,2.197225,29.76,0,0.000000,0.506145,0.48481,0.874620
50,49,0.637435,62,29,2.766319,1,0.693147,3.605551,2.079442,29.74,0,0.000000,0.506145,0.48481,0.874620
51,50,0.401832,62,29,2.766319,1,0.693147,4.000000,2.197225,29.76,2963,7.994295,0.506145,0.484810,0.874620
52,51,0.166230,62,29,2.766319,1,0.693147,5.656854,2.708050,29.77,24553,10.108630,0.506145,0.484810,0.874620
53,52,0.069372,62,29,2.766319,1,0.693147,6.244998,3.135494,29.73,29986,10.308519,0.506145,0.484810,0.874620
54,53,0.304974,62,29,2.766319,1,0.693147,5.477226,3.258097,29.71,15403,9.642382,0.506145,0.484810,0.874620
55,54,0.540576,62,29,2.766319,1,0.693147,3.605551,3.135494,29.73,379,5.940171,0.506145,0.484810,0.874620
56,55,0.776178,62,29,2.766319,1,0.693147,3.162278,2.639057,29.75,0,0.000000,0.506145,0.484810,0.874620
57,56,0.875328,64,31,1.916923,3,0.693147,3.162278,2.079442,29.76,0,0.000000,0.541052,0.515038,0.857167
58,57,0.639108,64,31,1.916923,4,0.693147,3.605551,1.791759,29.75,0,0.000000,0.541052,0.515038,0.857167
59,58,0.402887,64,31,1.916923,4,1.098612,3.605551,1.386294,29.77,249,5.521461,0.541052,0.515038,0.857167
60,59,0.166667,64,31,1.916923,1,1.098612,5.196152,1.791759,29.78,9910,9.201401,0.541052,0.515038,0.857167
61,60,0.069554,64,31,1.916923,1,0.693147,6.403124,2.397895,29.75,28515,10.258221,0.541052,0.515038,0.857167
62,61,0.305774,64,31,1.916923,1,0.693147,6.244998,2.708050,29.70,17490,9.769442,0.541052,0.515038,0.857167
63,62,0.541995,64,31,1.916923,1,0.693147,5.196152,1.945910,29.72,773,6.651572,0.541052,0.515038,0.857167
64,63,0.778215,64,31,1.916923,1,0.693147,3.605551,1.945910,29.75,0,0.000000,0.541052,0.515038,0.857167
65,64,0.878788,63,21,2.442347,3,0.693147,4.000000,2.079442,29.76,0,0.000000,0.366519,0.358368,0.933580
66,65,0.641634,63,21,2.442347,3,0.693147,4.690416,2.079442,29.75,0,0.000000,0.366519,0.358368,0.933580
67,66,0.404480,63,21,2.442347,4,0.693147,4.358899,2.197225,29.78,65,4.189655,0.366519,0.358368,0.933580
