#,,distance-to-solar-noon,temperature,wind-direction,wind-speed,sky-cover,visibility,humidity,average-wind-speed-(period),average-pressure-(period),power-generated
1,0,0.859897,69,28,2.140066,0,0.693147,5,2.197225,29.82,0
2,1,0.628535,69,28,2.140066,0,0.693147,4.795832,1.791759,29.85,0
3,2,0.397172,69,28,2.140066,0,0.693147,5.477226,1.386294,29.89,5418
4,3,0.16581,69,28,2.140066,0,0.693147,8.185353,1.386294,29.91,25477
5,4,0.065553,69,28,2.140066,0,0.693147,8.774964,1.386294,29.89,30069
6,5,0.296915,69,28,2.140066,0,0.693147,8.774964,3.178054,29.85,16280
7,6,0.528278,69,28,2.140066,0,0.693147,8,2.772589,29.83,515
8,7,0.75964,69,28,2.140066,0,0.693147,7.141428,1.94591,29.86,0
9,8,0.862113,72,29,2.054124,0,0.693147,5.744563,1.94591,29.86,0
10,9,0.630155,72,29,2.054124,0,0.693147,7.141428,1.386294,29.87,0
11,10,0.398196,72,29,2.054124,0,0.693147,6.78233,1.386294,29.9,4939
12,11,0.166237,72,29,2.054124,0,0.693147,6,1.386294,29.92,24335
13,12,0.065722,72,29,2.054124,0,0.693147,8.774964,2.302585,29.88,29025
14,13,0.29768,72,29,2.054124,0,0.693147,8.3666,2.944439,29.84,15408
15,14,0.529639,72,29,2.054124,0,0.693147,5.91608,2.484907,29.84,491
16,15,0.761598,72,29,2.054124,0,0.693147,5,1.791759,29.85,0
17,16,0.865459,73,29,2.186051,0,0.693147,5.291503,1.94591,29.84,0
18,17,0.6326,73,29,2.186051,0,0.693147,4.690416,1.94591,29.86,0
19,18,0.399741,73,29,2.186051,0,0.693147,6.082763,1.386294,29.88,4854
20,19,0.166882,73,29,2.186051,0,0.693147,5.567764,1.386294,29.88,23855
21,20,0.065977,73,29,2.186051,0,0.693147,8.185353,2.397895,29.84,28339
22,21,0.298836,73,29,2.186051,0,0.693147,8.544004,3.044522,29.81,15308
23,22,0.531695,73,29,2.186051,0,0.693147,6.855655,2.70805,29.81,455
24,23,0.764554,73,29,2.186051,0,0.693147,5.477226,1.94591,29.85,0
25,24,0.867704,76,30,2.066863,0,0.693147,5.196152,1.386294,29.83,0
26,25,0.634241,76,30,2.066863,0,0.693147,4.690416,1.94591,29.82,0
27,26,0.400778,76,30,2.066863,0,0.693147,5.477226,1.386294,29.84,4750
28,27,0.167315,76,30,2.066863,0,0.693147,6,1.386294,29.85,23555
29,28,0.066148,76,30,2.066863,0,0.693147,6.164414,1.94591,29.79,27741
30,29,0.299611,76,30,2.066863,0,0.693147,8.3666,2.772589,29.75,14917
31,30,0.533074,76,30,2.066863,0,0.693147,8.544004,2.890372,29.74,429
32,31,0.766537,76,30,2.066863,0,0.693147,8.185353,1.791759,29.77,0
33,32,0.869792,77,29,2.251292,0,0.693147,6.855655,1.386294,29.77,0
34,33,0.635417,77,29,2.251292,0,0.693147,5.477226,2.079442,29.76,0
35,34,0.401042,77,29,2.251292,0,0.693147,6.244998,1.386294,29.8,4804
36,35,0.166667,77,29,2.251292,0,0.693147,6,1.386294,29.82,23551
37,36,0.067708,77,29,2.251292,0,0.693147,7.141428,1.791759,29.78,27963
38,37,0.302083,77,29,2.251292,0,0.693147,8.774964,3.135494,29.75,14980
39,38,0.536458,77,29,2.251292,0,0.693147,7,2.772589,29.76,423
40,39,0.770833,77,29,2.251292,0,0.693147,7.937254,2.197225,29.79,0
41,40,0.870926,75,30,2.261763,1,0.693147,6.557439,1.94591,29.78,0
42,41,0.636245,75,30,2.261763,1,0.693147,5.196152,1.386294,29.78,0
43,42,0.401565,75,30,2.261763,1,0.693147,6.928203,1.386294,29.81,4562
44,43,0.166884,75,30,2.261763,1,0.693147,5.830952,1.386294,29.82,22761
45,44,0.067797,75,30,2.261763,0,0.693147,8.42615,2.833213,29.79,28193
46,45,0.302477,75,30,2.261763,0,0.693147,7.81025,2.944439,29.75,14835
47,46,0.537158,75,30,2.261763,0,0.693147,6.557439,2.70805,29.74,375
48,47,0.771838,75,30,2.261763,0,0.693147,5.91608,2.197225,29.76,0
49,48,0.873037,62,29,2.766319,1,0.693147,4.358899,2.197225,29.76,0
50,49,0.637435,62,29,2.766319,1,0.693147,3.605551,2.079442,29.74,0
51,50,0.401832,62,29,2.766319,1,0.693147,4,2.197225,29.76,2963
52,51,0.16623,62,29,2.766319,1,0.693147,5.656854,2.70805,29.77,24553
53,52,0.069372,62,29,2.766319,1,0.693147,6.244998,3.135494,29.73,29986
54,53,0.304974,62,29,2.766319,1,0.693147,5.477226,3.258097,29.71,15403
55,54,0.540576,62,29,2.766319,1,0.693147,3.605551,3.135494,29.73,379
56,55,0.776178,62,29,2.766319,1,0.693147,3.162278,2.639057,29.75,0
57,56,0.875328,64,31,1.916923,3,0.693147,3.162278,2.079442,29.76,0
58,57,0.639108,64,31,1.916923,4,0.693147,3.605551,1.791759,29.75,0
59,58,0.402887,64,31,1.916923,4,1.098612,3.605551,1.386294,29.77,249
