#,"",distance-to-solar-noon,temperature,wind-direction,wind-speed,sky-cover,visibility,humidity,average-wind-speed-(period),average-pressure-(period),power-generated
1,0,0.859897,69,28,7.5,0,10.0,75,8.0,29.82,0
2,1,0.628535,69,28,7.5,0,10.0,77,5.0,29.85,0
3,2,0.397172,69,28,7.5,0,10.0,70,0.0,29.89,5418
4,3,0.165810,69,28,7.5,0,10.0,37,0.0,29.91,25477
5,4,0.065553,69,28,7.5,0,10.0,37,3.0,29.89,30069
6,5,0.296915,69,28,7.5,0,10.0,37,23.0,29.85,16280
7,6,0.528278,69,28,7.5,0,10.0,37,15.0,29.83,515
8,7,0.759640,69,28,7.5,0,10.0,49,6.0,29.86,0
9,8,0.862113,72,29,6.8,0,10.0,67,6.0,29.86,0
10,9,0.630155,72,29,6.8,0,10.0,49,0.0,29.87,0
11,10,0.398196,72,29,6.8,0,10.0,54,0.0,29.90,4939
12,11,0.166237,72,29,6.8,0,10.0,64,0.0,29.92,24335
13,12,0.065722,72,29,6.8,0,10.0,37,9.0,29.88,29025
14,13,0.297680,72,29,6.8,0,10.0,37,18.0,29.84,15408
15,14,0.529639,72,29,6.8,0,10.0,65,11.0,29.84,491
16,15,0.761598,72,29,6.8,0,10.0,75,5.0,29.85,0
17,16,0.865459,73,29,7.9,0,10.0,72,6.0,29.84,0
18,17,0.632600,73,29,7.9,0,10.0,78,6.0,29.86,0
19,18,0.399741,73,29,7.9,0,10.0,63,0.0,29.88,4854
20,19,0.166882,73,29,7.9,0,10.0,69,3.0,29.88,23855
21,20,0.065977,73,29,7.9,0,10.0,37,10.0,29.84,28339
22,21,0.298836,73,29,7.9,0,10.0,37,20.0,29.81,15308
23,22,0.531695,73,29,7.9,0,10.0,53,14.0,29.81,455
24,23,0.764554,73,29,7.9,0,10.0,70,6.0,29.85,0
25,24,0.867704,76,30,6.9,0,10.0,73,0.0,29.83,0
26,25,0.634241,76,30,6.9,0,10.0,78,6.0,29.82,0
27,26,0.400778,76,30,6.9,0,10.0,70,0.0,29.84,4750
28,27,0.167315,76,30,6.9,0,10.0,64,3.0,29.85,23555
29,28,0.066148,76,30,6.9,0,10.0,62,6.0,29.79,27741
30,29,0.299611,76,30,6.9,0,10.0,37,15.0,29.75,14917
31,30,0.533074,76,30,6.9,0,10.0,37,17.0,29.74,429
32,31,0.766537,76,30,6.9,0,10.0,37,5.0,29.77,0
